date,time,open,high,low,close,volume
2015-01-31,21:00:00,218.67,219.74,216.67,217.77,144.50901604000015
2015-01-31,22:00:00,218.15,220.4,217.69,220.08,58.48820235999988
2015-01-31,23:00:00,220.08,220.08,216.56,218.31,47.321074910000036
2015-02-01,00:00:00,218.35,220.6,216.85,218.6,55.428920759999905
2015-02-01,01:00:00,218.99,220.04,218.72,219.21,26.998200000000065
2015-02-01,02:00:00,219.07,219.1,217.17,218.09,48.471960000000045
2015-02-01,03:00:00,218.0,219.46,217.96,219.46,76.75440906000011
2015-02-01,04:00:00,219.5,219.8,218.99,219.04,3.0427999999999993
2015-02-01,05:00:00,219.11,219.11,217.69,218.15,14.524231799999992
2015-02-01,06:00:00,218.15,218.16,213.1,213.83,66.05158899999998
2015-02-01,07:00:00,214.36,214.94,212.87,214.04,50.875421569999965
2015-02-01,08:00:00,215.11,215.11,212.2,214.27,76.08251499999999
2015-02-01,09:00:00,214.0,215.5,213.63,213.92,35.542791999999984
2015-02-01,10:00:00,214.0,214.69,213.59,213.97,31.100000000000005
2015-02-01,11:00:00,214.42,214.75,212.0,213.36,45.83330000000004
2015-02-01,12:00:00,213.61,218.52,213.57,217.48,145.28465678999999
2015-02-01,13:00:00,217.85,222.5,217.85,220.75,196.55246429000007
2015-02-01,14:00:00,220.88,223.11,218.99,221.49,189.6069190100001
2015-02-01,15:00:00,222.04,224.43,220.48,224.2,94.19584766999996
2015-02-01,16:00:00,224.1,229.05,224.01,227.99,159.78631391999969
2015-02-01,17:00:00,228.25,230.47,226.14,227.29,80.23152783000013
2015-02-01,18:00:00,227.38,232.15,227.3,232.12,108.9506506499998
2015-02-01,19:00:00,232.35,233.39,226.43,227.67,152.88090547000002
2015-02-01,20:00:00,227.77,229.14,227.0,228.64,111.97889660000003
2015-02-01,21:00:00,228.39,231.37,226.9,230.29,91.37237700000003
2015-02-01,22:00:00,230.34,230.34,227.0,228.0,45.97250299999997
2015-02-01,23:00:00,228.0,229.6,227.72,229.6,36.161128420000004
2015-02-02,00:00:00,229.77,231.4,228.21,228.96,88.88360952000009
2015-02-02,01:00:00,229.0,229.99,228.28,228.28,17.91216699999998
2015-02-02,02:00:00,228.28,228.4,226.25,227.06,24.001899999999978
2015-02-02,03:00:00,226.98,227.0,222.33,223.37,57.14179023000001
2015-02-02,04:00:00,222.95,226.33,222.56,224.8,36.37547759999999
2015-02-02,05:00:00,224.91,226.95,223.9,224.68,78.64868716999997
2015-02-02,06:00:00,224.89,225.6,224.2,225.04,12.152999999999988
2015-02-02,07:00:00,225.08,225.83,224.4,224.71,6.362300000000001
2015-02-02,08:00:00,224.65,226.05,224.62,226.05,12.429558429999986
2015-02-02,09:00:00,226.08,228.21,225.89,227.82,17.156331399999978
2015-02-02,10:00:00,227.92,229.15,226.01,226.7,25.656428669999986
2015-02-02,11:00:00,226.92,227.71,225.98,226.64,45.93460000000011
2015-02-02,12:00:00,227.44,227.55,222.88,223.32,88.66704826999998
2015-02-02,13:00:00,223.3,225.1,222.87,223.81,51.970475130000125
2015-02-02,14:00:00,224.0,225.48,223.9,225.21,103.47302161999991
2015-02-02,15:00:00,225.04,226.83,224.0,226.83,57.30757153000004
2015-02-02,16:00:00,226.66,227.0,224.0,227.0,175.10105458999993
2015-02-02,17:00:00,226.59,227.99,226.59,227.08,34.831516580000006
2015-02-02,18:00:00,227.08,227.95,225.68,227.58,40.68948430000008
2015-02-02,19:00:00,227.6,232.12,226.76,232.12,222.40337912999996
2015-02-02,20:00:00,232.02,240.1,232.02,237.83,376.74056195999935
2015-02-02,21:00:00,237.01,242.0,236.9,240.28,160.79919197999968
2015-02-02,22:00:00,240.32,240.37,236.89,236.89,105.72014770999988
2015-02-02,23:00:00,237.03,239.36,236.88,238.52,51.49123099999997
